"","sit1","sit2","sit3","sit4","sit5","sit6","sit7","sit8","sit9","sit10","sit11","sit12","sit13","sit14","sit15","sit16","sit17","sit18","sit19","sit20","sit21","sit22","sit23","sit24","sit25","sit26","sit27","sit28","sit29","sit30","sit31"
"sit22",1.36582014159333,1.82277495965245,0.881373801801555,0.59105216571235,2.26416579792927,0.510563275105301,2.58904495410035,0.388212167839758,0.677442620054986,0.94425821833634,1.52426529867279,1.67247878525673,0.698848194257349,1.91803789617289,0.756421346384456,0.524300263405724,0.481671760783726,0.933802994901016,1.02891921503609,2.14616026444448,1.48975564430524,0,0.382633754024775,2.45333023518831,1.3370370872817,0.762055951003313,0.639843299695676,0.878174275377727,0.584552892921688,0.696129431906099,2.03795291466539
"sit23",1.69624275708028,2.20297295211804,0.51988671738479,0.310332994480758,2.01892305651835,0.58225621851125,2.72810444747218,0.0493961951970423,0.580018300260277,1.0554603468363,1.89770731565225,1.68758323584635,0.913184231587229,1.60652879853135,1.05127117395657,0.399044075006435,0.748277192324321,0.565038652486439,1.37085294597816,2.22253783848639,1.10964876200667,0.382633754024775,0,2.31367368106174,1.66535230929237,0.724483614725059,0.828480419304493,0.923868532562841,0.671754005989073,0.999454465575581,1.67262430808101
"sit24",2.62599039964236,3.76550826387023,2.00178558484989,2.00837632917283,0.763451056866433,2.88354622492235,1.85424780921599,2.36018684887606,2.8799429963709,1.7225167689328,3.13716104503722,1.08289026750101,3.15099871229089,1.3213724066296,2.27433371067969,1.95206112348053,2.21351330701674,2.02398747007487,3.36141604371081,1.30839918190671,2.39670315883362,2.45333023518831,2.31367368106174,0,2.59837017866308,3.03323513381405,2.01552057119106,3.23720866192201,2.97245170175578,2.30143808364482,2.90405605043608
"sit25",0.0340581325411621,1.21978081249479,2.0243836093823,1.6905237061121,2.80009957196195,1.73561184291035,1.73577380608793,1.69070553758828,1.97565215104838,1.01262194249119,0.548830501704287,1.51931071949839,1.64235324172112,2.73448542648691,0.625036356570833,1.48544030963875,0.926417464978864,2.08996477992935,1.31416474073988,1.61120377990156,2.73576341663998,1.3370370872817,1.66535230929237,2.59837017866308,0,2.01029810512526,0.937901289955833,2.01976654618415,1.76804759702673,0.669120098652756,3.3294671781859
"sit26",2.03443813225023,2.12994323846903,1.10562255593097,1.02496564827285,2.6871886169844,0.27512770330039,3.3503580945356,0.676287647734363,0.161144837060307,1.69327226062239,2.05310256944779,2.38662464504875,0.528636928975975,2.20325413592655,1.49156325918852,1.11451278346362,1.23992121930181,1.11631077211761,1.15979107414061,2.89206348864906,1.34373824382315,0.762055951003313,0.724483614725059,3.03323513381405,2.01029810512526,0,1.40066483506473,0.240885344676787,0.253357465381035,1.42798979042785,1.70649442026187
"sit27",0.971721426215233,1.84203445181051,1.09765769025216,0.771270911638117,2.0125098582554,1.14912971633114,1.949693415038,0.867385901196547,1.30482522610789,0.33015512763804,1.33092239033775,1.09190593879026,1.26844987677266,1.84077289865541,0.338823543156451,0.558112754095267,0.208357287220327,1.16392046389766,1.35023388976131,1.51729937063009,1.82114259999281,0.639843299695676,0.828480419304493,2.01552057119106,0.937901289955833,1.40066483506473,0,1.51238883595787,1.21903372474766,0.330148656423797,2.43087418999993
"sit28",2.04088668711073,2.00047059536893,1.33845950247341,1.23205002495028,2.91518548438382,0.371454163862656,3.4529914138377,0.878162280389738,0.398345132593235,1.82241044614233,1.99744506787911,2.54231118608824,0.411272555905008,2.44057770021382,1.55315156294177,1.29725305509098,1.33261889773998,1.35211068926215,1.02367238453623,3.02422451297906,1.57622216930941,0.878174275377727,0.923868532562841,3.23720866192201,2.01976654618415,0.240885344676787,1.51238883595787,0,0.293768839581593,1.48879349056516,1.90696186212177
"sit29",1.79125030949594,1.89088071982119,1.13744747966848,0.981759408848017,2.68796176887026,0.0896211057317296,3.16192931388133,0.630742498836607,0.303257515937548,1.52871699000421,1.79975436277351,2.25167793670184,0.315337264499689,2.24705178082461,1.27220811728684,1.02283011129263,1.04164101411128,1.16229557926826,0.930497829772815,2.73048115135702,1.49880774862276,0.584552892921688,0.671754005989073,2.97245170175578,1.76804759702673,0.253357465381035,1.21903372474766,0.293768839581593,0,1.2079754779201,1.91483442593963
"sit30",0.70106302311494,1.51501917530884,1.36356296445152,1.02790980942657,2.33797838824283,1.15629692425046,1.98877612340981,1.02724110698247,1.36549795280438,0.579007561386929,1.0066431012279,1.31248684641689,1.17299574431823,2.16853552693595,0.0643580743193069,0.830052819869963,0.257729534650202,1.42840247962837,1.10974901227256,1.64572023655756,2.06829798784777,0.696129431906099,0.999454465575581,2.30143808364482,0.669120098652756,1.42798979042785,0.330148656423797,1.48879349056516,1.2079754779201,0,2.66035521951209
"sit31",3.36127441343367,3.78524434971242,1.35029930136066,1.66071371032784,2.22204721666862,1.87432287519483,4.07542605992196,1.65477768854478,1.61158455198207,2.54263959394533,3.561897520469,2.87923846199141,2.22512263009663,1.60178905325369,2.7067057497749,1.87605677143231,2.40339983983625,1.28501019897223,2.84368835774598,3.47269908054727,0.625790774771513,2.03795291466539,1.67262430808101,2.90405605043608,3.3294671781859,1.70649442026187,2.43087418999993,1.90696186212177,1.91483442593963,2.66035521951209,0
